<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RI.MOEXCN;D;20150923;000000;6251.4900000;6274.2100000;6225.7700000;6248.3600000;1085988529
RI.MOEXCN;D;20150924;000000;6248.6000000;6263.2500000;6208.7600000;6220.0400000;826250182
RI.MOEXCN;D;20150925;000000;6229.6000000;6333.1100000;6228.7700000;6332.2700000;1009172440
RI.MOEXCN;D;20150928;000000;6332.5400000;6365.8800000;6273.8500000;6312.2300000;3099945420
RI.MOEXCN;D;20150929;000000;6312.6800000;6356.2500000;6282.7000000;6341.3500000;817530029
RI.MOEXCN;D;20150930;000000;6340.5500000;6403.5800000;6337.8300000;6365.6700000;1249721943
RI.MOEXCN;D;20151001;000000;6371.3900000;6444.7000000;6367.1200000;6426.2900000;1132194924
RI.MOEXCN;D;20151002;000000;6426.2900000;6456.9100000;6362.1900000;6367.3900000;1075000398
RI.MOEXCN;D;20151005;000000;6377.4800000;6414.0400000;6348.8300000;6354.7200000;1281572080
RI.MOEXCN;D;20151006;000000;6365.9500000;6470.9500000;6337.0600000;6470.9500000;1162934237
RI.MOEXCN;D;20151007;000000;6474.4800000;6481.2300000;6360.2100000;6412.8700000;1577832703
RI.MOEXCN;D;20151008;000000;6407.1200000;6412.5800000;6334.3500000;6381.7300000;1361136655
RI.MOEXCN;D;20151009;000000;6382.3500000;6384.0100000;6301.4100000;6327.5100000;2384759031
RI.MOEXCN;D;20151012;000000;6329.8300000;6371.4900000;6262.9500000;6275.8400000;1468564927
RI.MOEXCN;D;20151013;000000;6298.1300000;6332.0600000;6254.8400000;6305.9100000;1218523921
RI.MOEXCN;D;20151014;000000;6320.0800000;6388.9300000;6301.2700000;6371.5400000;1677573279
RI.MOEXCN;D;20151015;000000;6382.5900000;6426.2500000;6374.5300000;6394.1200000;2070757114
RI.MOEXCN;D;20151016;000000;6414.0400000;6423.1800000;6335.8700000;6351.0000000;1989020021
