The International Stock Exchange (TISE); XS0795156719; 11.11.2016); 27.08.2021); Итальянская ФБ - EuroTLX; XS1822383094; SCFL0623; GAZP0837;;;;The International Stock Exchange (TISE)
Швейцарская ФБ; XS0863439161; 19.08.2016); 21.09.2015); ALFA0430; XS1589106910; PLZL0223; XS0191754729;;;;Швейцарская ФБ
Берлинская биржа; XS0833264335; Франкфуртская ФБ; 13.11.2020); CHMF0924; XS0304274599; XS1603335610; XS0559915961;;;;Берлинская биржа
Сингапурская ФБ; XS0886632685; Берлинская биржа; 05.11.2015); GAZP0326; GAZP0325; EVRZ0323; ALFA0421;;;;Сингапурская ФБ
РТС; XS0885873322; 18.05.2016); 15.11.2022); STLF0623; XS1964558339; GAZP0327; XS0935311240;;;;РТС
; XS0882173734;;;;;;;;;;
; XS0954673934;;;;;;;;;;
; XS0996297544;;;;;;;;;;
; XS1042215480 (Третий уровень);;;;;;;;;;
; XS1062078529;;;;;;;;;;
; XS1764143597;;;;;;;;;;
; XS2139835636;;;;;;;;;;
; XS2206912847;;;;;;;;;;
; XS2242762651;;;;;;;;;;
; XS2381361646;;;;;;;;;;
; XS0783972929;;;;;;;;;;
; XS2417535650;;;;;;;;;;
; XS2420560869;;;;;;;;;;
; XS0948666770 (Третий уровень;;;;;;;;;;
; XS0246937162;;;;;;;;;;
; XS1512658805 (Третий уровень);;;;;;;;;;
; XS1900962892;;;;;;;;;;
; XS1927711454;;;;;;;;;;
; XS0290543981;;;;;;;;;;
; XS1783223206;;;;;;;;;;
; XS1799164790;;;;;;;;;;
; XS1878009866;;;;;;;;;;
; XS1937694625;;;;;;;;;;
; XS1952156344;;;;;;;;;;
; XS1962541709;;;;;;;;;;
; XS2028879026;;;;;;;;;;
; XS2065019957;;;;;;;;;;
; XS2079093949;;;;;;;;;;
; XS1654229290;;;;;;;;;;
; XS1327117633 (Третий уровень;;;;;;;;;;
; XS1327118284 (Третий уровень;;;;;;;;;;
; XS1654213294;;;;;;;;;;
; XS1708325748;;;;;;;;;;
; XS1718466250;;;;;;;;;;
; XS1819608172;;;;;;;;;;
; XS1838071964;;;;;;;;;;
; XS1870376461;;;;;;;;;;
; XS1904686661;;;;;;;;;;
; XS1917700723;;;;;;;;;;
; XS1923604984;;;;;;;;;;
; XS1953826978;;;;;;;;;;
; XS1954534621;;;;;;;;;;
; XS1963835902;;;;;;;;;;
; XS1946763361;;;;;;;;;;
; XS1982161603;;;;;;;;;;
; XS2004904285;;;;;;;;;;
; XS2009879425;;;;;;;;;;
; XS2015214757;;;;;;;;;;
; XS2019822357;;;;;;;;;;
; XS2027360507;;;;;;;;;;
; XS2038595034;;;;;;;;;;
; XS2038593419;;;;;;;;;;
; XS2045765729;;;;;;;;;;
; XS2057952439;;;;;;;;;;
; XS2065556453;;;;;;;;;;
; XS2068071211;;;;;;;;;;
; XS2066725107;;;;;;;;;;
; XS2072916336;;;;;;;;;;
; XS2072913663;;;;;;;;;;
; XS2072913317;;;;;;;;;;
; XS2085880529;;;;;;;;;;
; XS2085844640;;;;;;;;;;
; XS2085844053;;;;;;;;;;
; XS2091664370;;;;;;;;;;
; XS2091668447;;;;;;;;;;
; XS2099349495;;;;;;;;;;
; XS2114337798;;;;;;;;;;
; XS2128490906;;;;;;;;;;
; XS2139466846;;;;;;;;;;
; XS2139467901;;;;;;;;;;
; XS2143253651;;;;;;;;;;
; XS2121431113;;;;;;;;;;
; XS2143149834;;;;;;;;;;
; XS2154338623;;;;;;;;;;
; XS2170362839;;;;;;;;;;
; XS2184850811;;;;;;;;;;
; XS2191173538;;;;;;;;;;
; XS2189377562;;;;;;;;;;
; XS2194477282;;;;;;;;;;
; XS2198400470;;;;;;;;;;
; XS2205319705;;;;;;;;;;
; XS2205545119;;;;;;;;;;
; XS2208853999;;;;;;;;;;
; XS2213663797;;;;;;;;;;
; XS2224524491;;;;;;;;;;
; XS2225301725;;;;;;;;;;
; XS2227340028;;;;;;;;;;
; XS2233228597;;;;;;;;;;
; XS2237422972;;;;;;;;;;
; XS2242161904;;;;;;;;;;
; XS2248577566;;;;;;;;;;
; XS2249575643;;;;;;;;;;
; XS2251359084;;;;;;;;;;
; XS2260424580;;;;;;;;;;
; XS2267887946;;;;;;;;;;
; XS2267888597;;;;;;;;;;
; XS2269280066;;;;;;;;;;
; XS2273109871;;;;;;;;;;
; XS2290820518;;;;;;;;;;
; XS2301236753;;;;;;;;;;
; XS2298598462;;;;;;;;;;
; XS2306838595;;;;;;;;;;
; XS2306607271;;;;;;;;;;
; XS2307308069;;;;;;;;;;
; 03.03.2021);;;;;;;;;;
; 01.04.2021);;;;;;;;;;
; 25.05.2021);;;;;;;;;;
; 16.06.2021);;;;;;;;;;
; XS2357422331;;;;;;;;;;
; XS2360292556;;;;;;;;;;
; XS2360854140;;;;;;;;;;
; XS2362683570;;;;;;;;;;
; XS2363070850;;;;;;;;;;
; XS2369574384;;;;;;;;;;
; XS2369925511;;;;;;;;;;
; XS2371857223;;;;;;;;;;
; XS2386146273;;;;;;;;;;
; 18.10.2021);;;;;;;;;;
